Sl No,Client,Business Unit Ref Code,Business Unit,Nominal Code,From,To,Created on,Invoice Number,Due Date,Total amount,Expenses Amount,Vat Amount,Grand Total,Paid Amount,Balance Amount,Status,Generated By
40,Swanton Care,BU95H114,Sampson Park (Bungalow 2),4000,01-05-2023,07-05-2023,09-05-2023,-INV--2741,08-06-2023,932.88,0.00,0.00,932.88,0.00,932.88,Created,Isabel Mwaura
41,Swanton Care,BU95H122,Sampson Park (Bungalow 5),4000,01-05-2023,07-05-2023,09-05-2023,-INV--2742,08-06-2023,368.76,0.00,0.00,368.76,0.00,368.76,Created,Isabel Mwaura
42,Macintyre Care,BU95H94,The Rowans,4000,01-05-2023,07-05-2023,09-05-2023,-INV--2743,08-06-2023,140.41,0.00,0.00,140.41,0.00,140.41,Created,Isabel Mwaura
43,Macintyre Care,BU95H92,The Ryland's,4000,01-05-2023,07-05-2023,09-05-2023,-INV--2744,08-06-2023,1782.48,0.00,0.00,1782.48,0.00,1782.48,Created,Isabel Mwaura
44,Livability,BU95H2,York House,4000,01-05-2023,07-05-2023,09-05-2023,-INV--2745,08-06-2023,1223.56,0.00,0.00,1223.56,0.00,1223.56,Created,Isabel Mwaura
45,Swanton Care,BU95H85,12 Magnolia Drive,4000,08-05-2023,14-05-2023,16-05-2023,-INV--2746,15-06-2023,1078.60,0.00,0.00,1078.60,0.00,1078.60,Created,Isabel Mwaura
46,Macintyre Care,BU95H105,23 Aston Butts,4000,08-05-2023,14-05-2023,16-05-2023,-INV--2747,15-06-2023,636.22,0.00,0.00,636.22,0.00,636.22,Created,Isabel Mwaura
47,Swanton Care,BU95H113,23 Bostock Crescent,4000,08-05-2023,14-05-2023,16-05-2023,-INV--2748,15-06-2023,399.68,0.00,0.00,399.68,0.00,399.68,Created,Isabel Mwaura
48,Macintyre Care,BU95H116,32 Bentley Drive,4000,08-05-2023,14-05-2023,16-05-2023,-INV--2749,15-06-2023,3632.24,0.00,0.00,3632.24,0.00,3632.24,Created,Isabel Mwaura
49,Swanton Care,BU95H80,50 Deepdale,4000,08-05-2023,14-05-2023,16-05-2023,-INV--2750,15-06-2023,215.50,0.00,0.00,215.50,0.00,215.50,Created,Isabel Mwaura
50,Bethphage,BU95H88,93 Little Harlescott Ln (Bethphage),4000,08-05-2023,14-05-2023,16-05-2023,-INV--2751,15-06-2023,303.40,0.00,0.00,303.40,0.00,303.40,Created,Isabel Mwaura
51,Bethphage,BU95H78,93 Sutton Road (Bethphage),4000,08-05-2023,14-05-2023,16-05-2023,-INV--2752,15-06-2023,1176.14,0.00,0.00,1176.14,0.00,1176.14,Created,Isabel Mwaura
52,Macintyre Care,BU95H95,94 Murrell Way,4000,08-05-2023,14-05-2023,16-05-2023,-INV--2753,15-06-2023,1148.08,0.00,0.00,1148.08,0.00,1148.08,Created,Isabel Mwaura
53,Macintyre Care,BU95H131,99 Allerton Road,4000,08-05-2023,14-05-2023,16-05-2023,-INV--2754,15-06-2023,378.69,0.00,0.00,378.69,0.00,378.69,Created,Isabel Mwaura
54,PAKS Trust,MI95H169,Beaman House,4000,08-05-2023,14-05-2023,16-05-2023,-INV--2755,15-06-2023,630.11,0.00,0.00,630.11,0.00,630.11,Created,Isabel Mwaura
55,Macintyre Care,BU95H128,Bradbury Bungalow,4000,08-05-2023,14-05-2023,16-05-2023,-INV--2756,15-06-2023,3282.81,0.00,0.00,3282.81,0.00,3282.81,Created,Isabel Mwaura
56,Swanton Care,BU95H34,Darwin Place,4000,08-05-2023,14-05-2023,16-05-2023,-INV--2757,15-06-2023,2926.46,0.00,0.00,2926.46,0.00,2926.46,Created,Isabel Mwaura
57,Accomplish Group,BU95H27,Glanmore,4000,08-05-2023,14-05-2023,16-05-2023,-INV--2758,15-06-2023,130.15,0.00,0.00,130.15,0.00,130.15,Created,Isabel Mwaura
58,PAKS Trust,MI95H170,Hatfield House,4000,08-05-2023,14-05-2023,16-05-2023,-INV--2759,15-06-2023,1560.52,0.00,0.00,1560.52,0.00,1560.52,Created,Isabel Mwaura
59,PAKS Trust,MI95H171,Lupin House,4000,08-05-2023,14-05-2023,16-05-2023,-INV--2760,15-06-2023,128.86,0.00,0.00,128.86,0.00,128.86,Created,Isabel Mwaura
60,Trident Group,BU95H41,Maer Lane,4000,08-05-2023,14-05-2023,16-05-2023,-INV--2761,15-06-2023,948.01,0.00,0.00,948.01,0.00,948.01,Created,Isabel Mwaura
61,Macintyre Care,BU95H97,North Close,4000,08-05-2023,14-05-2023,16-05-2023,-INV--2762,15-06-2023,272.40,0.00,0.00,272.40,0.00,272.40,Created,Isabel Mwaura
62,Bethphage,BU95H79,Robin House (Bethphage),4000,08-05-2023,14-05-2023,16-05-2023,-INV--2763,15-06-2023,302.40,0.00,0.00,302.40,0.00,302.40,Created,Isabel Mwaura
63,Swanton Care,BU95H114,Sampson Park (Bungalow 2),4000,08-05-2023,14-05-2023,16-05-2023,-INV--2764,15-06-2023,286.04,0.00,0.00,286.04,0.00,286.04,Created,Isabel Mwaura
64,Swanton Care,BU95H122,Sampson Park (Bungalow 5),4000,08-05-2023,14-05-2023,16-05-2023,-INV--2765,15-06-2023,506.60,0.00,0.00,506.60,0.00,506.60,Created,Isabel Mwaura
65,HF Trust Limited,BU95H53,Severn Cottage,4000,08-05-2023,14-05-2023,16-05-2023,-INV--2766,15-06-2023,176.21,0.00,0.00,176.21,0.00,176.21,Created,Isabel Mwaura
66,Macintyre Care,BU95H94,The Rowans,4000,08-05-2023,14-05-2023,16-05-2023,-INV--2767,15-06-2023,438.43,0.00,0.00,438.43,0.00,438.43,Created,Isabel Mwaura
67,Macintyre Care,BU95H92,The Ryland's,4000,08-05-2023,14-05-2023,16-05-2023,-INV--2768,15-06-2023,1090.62,0.00,0.00,1090.62,0.00,1090.62,Created,Isabel Mwaura
68,PAKS Trust,MI95H172,Walsingham House,4000,08-05-2023,14-05-2023,16-05-2023,-INV--2769,15-06-2023,144.76,0.00,0.00,144.76,0.00,144.76,Created,Isabel Mwaura
69,Livability,BU95H2,York House,4000,08-05-2023,14-05-2023,16-05-2023,-INV--2770,15-06-2023,1971.64,0.00,0.00,1971.64,0.00,1971.64,Created,Isabel Mwaura
70,Priory Group,BU95H147,255 Lichfield Road,4000,08-05-2023,14-05-2023,16-05-2023,-INV--2771,15-06-2023,203.88,0.00,0.00,203.88,0.00,203.88,Created,Isabel Mwaura
71,Swanton Care,BU95H85,12 Magnolia Drive,4000,15-05-2023,21-05-2023,23-05-2023,-INV--2772,22-06-2023,485.92,0.00,0.00,485.92,0.00,485.92,Created,Isabel Mwaura
72,Macintyre Care,BU95H105,23 Aston Butts,4000,15-05-2023,21-05-2023,23-05-2023,-INV--2773,22-06-2023,317.52,0.00,0.00,317.52,0.00,317.52,Created,Isabel Mwaura
73,Macintyre Care,BU95H116,32 Bentley Drive,4000,15-05-2023,21-05-2023,23-05-2023,-INV--2774,22-06-2023,2319.56,0.00,0.00,2319.56,0.00,2319.56,Created,Isabel Mwaura
74,Swanton Care,BU95H80,50 Deepdale,4000,15-05-2023,21-05-2023,23-05-2023,-INV--2775,22-06-2023,421.23,0.00,0.00,421.23,0.00,421.23,Created,Isabel Mwaura
75,Bethphage,BU95H88,93 Little Harlescott Ln (Bethphage),4000,15-05-2023,21-05-2023,23-05-2023,-INV--2776,22-06-2023,152.55,0.00,0.00,152.55,0.00,152.55,Created,Isabel Mwaura
76,Bethphage,BU95H78,93 Sutton Road (Bethphage),4000,15-05-2023,21-05-2023,23-05-2023,-INV--2777,22-06-2023,1023.56,0.00,0.00,1023.56,0.00,1023.56,Created,Isabel Mwaura
77,Macintyre Care,BU95H95,94 Murrell Way,4000,15-05-2023,21-05-2023,23-05-2023,-INV--2778,22-06-2023,1777.01,0.00,0.00,1777.01,0.00,1777.01,Created,Isabel Mwaura
78,Macintyre Care,BU95H131,99 Allerton Road,4000,15-05-2023,21-05-2023,23-05-2023,-INV--2779,22-06-2023,796.28,0.00,0.00,796.28,0.00,796.28,Created,Isabel Mwaura
79,PAKS Trust,MI95H169,Beaman House,4000,15-05-2023,21-05-2023,23-05-2023,-INV--2780,22-06-2023,970.71,0.00,0.00,970.71,0.00,970.71,Created,Isabel Mwaura
80,Macintyre Care,BU95H128,Bradbury Bungalow,4000,15-05-2023,21-05-2023,23-05-2023,-INV--2781,22-06-2023,1971.93,0.00,0.00,1971.93,0.00,1971.93,Created,Isabel Mwaura
81,Swanton Care,BU95H34,Darwin Place,4000,15-05-2023,21-05-2023,23-05-2023,-INV--2782,22-06-2023,3264.24,0.00,0.00,3264.24,0.00,3264.24,Created,Isabel Mwaura
82,Accomplish Group,BU95H27,Glanmore,4000,15-05-2023,21-05-2023,23-05-2023,-INV--2783,22-06-2023,712.17,0.00,0.00,712.17,0.00,712.17,Created,Isabel Mwaura
83,PAKS Trust,MI95H170,Hatfield House,4000,15-05-2023,21-05-2023,23-05-2023,-INV--2784,22-06-2023,845.26,0.00,0.00,845.26,0.00,845.26,Created,Isabel Mwaura
84,PAKS Trust,MI95H171,Lupin House,4000,15-05-2023,21-05-2023,23-05-2023,-INV--2785,22-06-2023,654.81,0.00,0.00,654.81,0.00,654.81,Created,Isabel Mwaura
85,Trident Group,BU95H41,Maer Lane,4000,15-05-2023,21-05-2023,23-05-2023,-INV--2786,22-06-2023,862.43,0.00,0.00,862.43,0.00,862.43,Created,Isabel Mwaura
86,Macintyre Care,BU95H97,North Close,4000,15-05-2023,21-05-2023,23-05-2023,-INV--2787,22-06-2023,414.92,0.00,0.00,414.92,0.00,414.92,Created,Isabel Mwaura
87,Swanton Care,BU95H114,Sampson Park (Bungalow 2),4000,15-05-2023,21-05-2023,23-05-2023,-INV--2788,22-06-2023,399.68,0.00,0.00,399.68,0.00,399.68,Created,Isabel Mwaura
88,Macintyre Care,BU95H94,The Rowans,4000,15-05-2023,21-05-2023,23-05-2023,-INV--2789,22-06-2023,578.84,0.00,0.00,578.84,0.00,578.84,Created,Isabel Mwaura
89,Macintyre Care,BU95H92,The Ryland's,4000,15-05-2023,21-05-2023,23-05-2023,-INV--2790,22-06-2023,1491.49,0.00,0.00,1491.49,0.00,1491.49,Created,Isabel Mwaura
90,PAKS Trust,MI95H172,Walsingham House,4000,15-05-2023,21-05-2023,23-05-2023,-INV--2791,22-06-2023,221.40,0.00,0.00,221.40,0.00,221.40,Created,Isabel Mwaura
91,Livability,BU95H2,York House,4000,15-05-2023,21-05-2023,23-05-2023,-INV--2792,22-06-2023,1223.68,0.00,0.00,1223.68,0.00,1223.68,Created,Isabel Mwaura
,,,,,,,,,,"92,874.48",,,"92,874.48",,,,
