Sl No,Client,Business Unit Ref Code,Business Unit,Nominal Code,From,To,Created on,Invoice Number,Due Date,Total amount,Expenses Amount,Vat Amount,Grand Total,Paid Amount,Balance Amount,Status,Generated By
1,Swanton Care,BU95H85,12 Magnolia Drive,4000,24-04-2023,30-04-2023,02-05-2023,-INV--2702,01-06-2023,186.08,0.00,0.00,186.08,0.00,186.08,Created,Isabel Mwaura
2,Macintyre Care,BU95H105,23 Aston Butts,4000,24-04-2023,30-04-2023,02-05-2023,-INV--2703,01-06-2023,1553.76,0.00,0.00,1553.76,0.00,1553.76,Created,Isabel Mwaura
3,Macintyre Care,BU95H116,32 Bentley Drive,4000,24-04-2023,30-04-2023,02-05-2023,-INV--2704,01-06-2023,2711.06,0.00,0.00,2711.06,0.00,2711.06,Created,Isabel Mwaura
4,Swanton Care,BU95H80,50 Deepdale,4000,24-04-2023,30-04-2023,02-05-2023,-INV--2705,01-06-2023,358.48,0.00,0.00,358.48,0.00,358.48,Created,Isabel Mwaura
5,Bethphage,BU95H78,93 Sutton Road (Bethphage),4000,24-04-2023,30-04-2023,02-05-2023,-INV--2706,01-06-2023,206.80,0.00,0.00,206.80,0.00,206.80,Created,Isabel Mwaura
6,Macintyre Care,BU95H95,94 Murrell Way,4000,24-04-2023,30-04-2023,02-05-2023,-INV--2707,01-06-2023,1451.80,0.00,0.00,1451.80,0.00,1451.80,Created,Isabel Mwaura
7,PAKS Trust,MI95H169,Beaman House,4000,24-04-2023,30-04-2023,02-05-2023,-INV--2708,01-06-2023,328.85,0.00,0.00,328.85,0.00,328.85,Created,Isabel Mwaura
8,Macintyre Care,BU95H128,Bradbury Bungalow,4000,24-04-2023,30-04-2023,02-05-2023,-INV--2709,01-06-2023,3023.46,0.00,0.00,3023.46,0.00,3023.46,Created,Isabel Mwaura
9,Swanton Care,BU95H175,Courtyard Care Rose House,4000,24-04-2023,30-04-2023,02-05-2023,-INV--2710,01-06-2023,849.65,0.00,0.00,849.65,0.00,849.65,Created,Isabel Mwaura
10,Swanton Care,BU95H34,Darwin Place,4000,24-04-2023,30-04-2023,02-05-2023,-INV--2711,01-06-2023,3687.23,0.00,0.00,3687.23,0.00,3687.23,Created,Isabel Mwaura
11,PAKS Trust,MI95H170,Hatfield House,4000,24-04-2023,30-04-2023,02-05-2023,-INV--2712,01-06-2023,1272.80,0.00,0.00,1272.80,0.00,1272.80,Created,Isabel Mwaura
12,PAKS Trust,MI95H171,Lupin House,4000,24-04-2023,30-04-2023,02-05-2023,-INV--2713,01-06-2023,208.74,0.00,0.00,208.74,0.00,208.74,Created,Isabel Mwaura
13,Trident Group,BU95H41,Maer Lane,4000,24-04-2023,30-04-2023,02-05-2023,-INV--2714,01-06-2023,312.81,0.00,0.00,312.81,0.00,312.81,Created,Isabel Mwaura
14,Macintyre Care,BU95H97,North Close,4000,24-04-2023,30-04-2023,02-05-2023,-INV--2715,01-06-2023,905.51,0.00,0.00,905.51,0.00,905.51,Created,Isabel Mwaura
15,Bethphage,BU95H79,Robin House (Bethphage),4000,24-04-2023,30-04-2023,02-05-2023,-INV--2716,01-06-2023,152.55,0.00,0.00,152.55,0.00,152.55,Created,Isabel Mwaura
16,Swanton Care,BU95H_177,Sampson Park (Bungalow 1),4000,24-04-2023,30-04-2023,02-05-2023,-INV--2717,01-06-2023,206.80,0.00,0.00,206.80,0.00,206.80,Created,Isabel Mwaura
17,Swanton Care,BU95H114,Sampson Park (Bungalow 2),4000,24-04-2023,30-04-2023,02-05-2023,-INV--2718,01-06-2023,771.92,0.00,0.00,771.92,0.00,771.92,Created,Isabel Mwaura
18,Macintyre Care,BU95H94,The Rowans,4000,24-04-2023,30-04-2023,02-05-2023,-INV--2719,01-06-2023,150.75,0.00,0.00,150.75,0.00,150.75,Created,Isabel Mwaura
19,Macintyre Care,BU95H92,The Ryland's,4000,24-04-2023,30-04-2023,02-05-2023,-INV--2720,01-06-2023,1300.35,0.00,0.00,1300.35,0.00,1300.35,Created,Isabel Mwaura
20,PAKS Trust,MI95H172,Walsingham House,4000,24-04-2023,30-04-2023,02-05-2023,-INV--2721,01-06-2023,212.88,0.00,0.00,212.88,0.00,212.88,Created,Isabel Mwaura
21,Livability,BU95H2,York House,4000,24-04-2023,30-04-2023,02-05-2023,-INV--2722,01-06-2023,2557.22,0.00,0.00,2557.22,0.00,2557.22,Created,Isabel Mwaura
22,Priory Group,BU95H147,255 Lichfield Road,4000,24-04-2023,30-04-2023,02-05-2023,-INV--2723,01-06-2023,164.00,0.00,0.00,164.00,0.00,164.00,Created,Isabel Mwaura
23,Bethphage,BU95H106,Grange Road,4000,24-04-2023,30-04-2023,03-05-2023,-INV--2724,02-06-2023,75.83,0.00,0.00,75.83,0.00,75.83,Created,Isabel Mwaura
24,Swanton Care,BU95H85,12 Magnolia Drive,4000,01-05-2023,07-05-2023,09-05-2023,-INV--2725,08-06-2023,1575.83,0.00,0.00,1575.83,0.00,1575.83,Created,Isabel Mwaura
25,Macintyre Care,BU95H105,23 Aston Butts,4000,01-05-2023,07-05-2023,09-05-2023,-INV--2726,08-06-2023,1574.75,0.00,0.00,1574.75,0.00,1574.75,Created,Isabel Mwaura
26,Swanton Care,BU95H113,23 Bostock Crescent,4000,01-05-2023,07-05-2023,09-05-2023,-INV--2727,08-06-2023,365.36,0.00,0.00,365.36,0.00,365.36,Created,Isabel Mwaura
27,Macintyre Care,BU95H116,32 Bentley Drive,4000,01-05-2023,07-05-2023,09-05-2023,-INV--2728,08-06-2023,3465.34,0.00,0.00,3465.34,0.00,3465.34,Created,Isabel Mwaura
28,Swanton Care,BU95H80,50 Deepdale,4000,01-05-2023,07-05-2023,09-05-2023,-INV--2729,08-06-2023,120.60,0.00,0.00,120.60,0.00,120.60,Created,Isabel Mwaura
29,Bethphage,BU95H78,93 Sutton Road (Bethphage),4000,01-05-2023,07-05-2023,09-05-2023,-INV--2730,08-06-2023,224.00,0.00,0.00,224.00,0.00,224.00,Created,Isabel Mwaura
30,Macintyre Care,BU95H95,94 Murrell Way,4000,01-05-2023,07-05-2023,09-05-2023,-INV--2731,08-06-2023,1393.66,0.00,0.00,1393.66,0.00,1393.66,Created,Isabel Mwaura
31,Macintyre Care,BU95H131,99 Allerton Road,4000,01-05-2023,07-05-2023,09-05-2023,-INV--2732,08-06-2023,807.56,0.00,0.00,807.56,0.00,807.56,Created,Isabel Mwaura
32,PAKS Trust,MI95H169,Beaman House,4000,01-05-2023,07-05-2023,09-05-2023,-INV--2733,08-06-2023,637.26,0.00,0.00,637.26,0.00,637.26,Created,Isabel Mwaura
33,Livability,BU95H173,Bournville House,4000,01-05-2023,07-05-2023,09-05-2023,-INV--2734,08-06-2023,740.32,0.00,0.00,740.32,0.00,740.32,Created,Isabel Mwaura
34,Macintyre Care,BU95H128,Bradbury Bungalow,4000,01-05-2023,07-05-2023,09-05-2023,-INV--2735,08-06-2023,3218.45,0.00,0.00,3218.45,0.00,3218.45,Created,Isabel Mwaura
35,Swanton Care,BU95H34,Darwin Place,4000,01-05-2023,07-05-2023,09-05-2023,-INV--2736,08-06-2023,4449.82,0.00,0.00,4449.82,0.00,4449.82,Created,Isabel Mwaura
36,PAKS Trust,MI95H170,Hatfield House,4000,01-05-2023,07-05-2023,09-05-2023,-INV--2737,08-06-2023,685.75,0.00,0.00,685.75,0.00,685.75,Created,Isabel Mwaura
37,Trident Group,BU95H41,Maer Lane,4000,01-05-2023,07-05-2023,09-05-2023,-INV--2738,08-06-2023,581.63,0.00,0.00,581.63,0.00,581.63,Created,Isabel Mwaura
38,Macintyre Care,BU95H97,North Close,4000,01-05-2023,07-05-2023,09-05-2023,-INV--2739,08-06-2023,842.57,0.00,0.00,842.57,0.00,842.57,Created,Isabel Mwaura
39,Bethphage,BU95H79,Robin House (Bethphage),4000,01-05-2023,07-05-2023,09-05-2023,-INV--2740,08-06-2023,220.52,0.00,0.00,220.52,0.00,220.52,Created,Isabel Mwaura
